From: ICD-10 4th Edition code	Code Description	To: ICD-10 Reprinted (with updates and corrections) 2000 code	Notes	Target Different to Source?	ICD 3char/4char/5char
M43.1	Spondylolisthesis	M43.1		N	4
M43.10	Spondylolisthesis; Multiple sites in spine	M43.10		N	5
M43.11	Spondylolisthesis; Occipito-atlanto-axial region	M43.11		N	5
M43.12	Spondylolisthesis; Cervical region	M43.12		N	5
M43.13	Spondylolisthesis; Cervicothoracic region	M43.13		N	5
M43.14	Spondylolisthesis; Thoracic region	M43.14		N	5
M43.15	Spondylolisthesis; Thoracolumbar region	M43.15		N	5
M43.16	Spondylolisthesis; Lumbar region	M43.16		N	5
M43.17	Spondylolisthesis; Lumbosacral region	M43.17		N	5
M43.18	Spondylolisthesis; Sacral and sacrococcygeal region	M43.18		N	5
M43.19	Spondylolisthesis; Site unspecified	M43.19		N	5
M43.2	Other fusion of spine	M43.2		N	4
M43.20	Other fusion of spine; Multiple sites in spine	M43.20		N	5
M43.21	Other fusion of spine; Occipito-atlanto-axial region	M43.21		N	5
M43.22	Other fusion of spine; Cervical region	M43.22		N	5
M43.23	Other fusion of spine; Cervicothoracic region	M43.23		N	5
M43.24	Other fusion of spine; Thoracic region	M43.24		N	5
M43.25	Other fusion of spine; Thoracolumbar region	M43.25		N	5
M43.26	Other fusion of spine; Lumbar region	M43.26		N	5
M43.27	Other fusion of spine; Lumbosacral region	M43.27		N	5
M43.28	Other fusion of spine; Sacral and sacrococcygeal region	M43.28		N	5
M43.29	Other fusion of spine; Site unspecified	M43.29		N	5
M43.3	Recurrent atlantoaxial subluxation with myelopathy	M43.3		N	4
M43.30	Recurrent atlantoaxial subluxation with myelopathy; Multiple sites in spine	M43.30		N	5
M43.31	Recurrent atlantoaxial subluxation with myelopathy; Occipito-atlanto-axial region	M43.31		N	5
M43.32	Recurrent atlantoaxial subluxation with myelopathy; Cervical region	M43.32		N	5
M43.33	Recurrent atlantoaxial subluxation with myelopathy; Cervicothoracic region	M43.33		N	5
M43.34	Recurrent atlantoaxial subluxation with myelopathy; Thoracic region	M43.34		N	5
M43.35	Recurrent atlantoaxial subluxation with myelopathy; Thoracolumbar region	M43.35		N	5
M43.36	Recurrent atlantoaxial subluxation with myelopathy; Lumbar region	M43.36		N	5
M43.37	Recurrent atlantoaxial subluxation with myelopathy; Lumbosacral region	M43.37		N	5
M43.38	Recurrent atlantoaxial subluxation with myelopathy; Sacral and sacrococcygeal region	M43.38		N	5
M43.39	Recurrent atlantoaxial subluxation with myelopathy; Site unspecified	M43.39		N	5
M43.4	Other recurrent atlantoaxial subluxation	M43.4		N	4
M43.5	Other recurrent vertebral subluxation	M43.5		N	4
M43.50	Other recurrent vertebral subluxation; Multiple sites in spine	M43.50		N	5
M43.52	Other recurrent vertebral subluxation; Cervical region	M43.52		N	5
M43.53	Other recurrent vertebral subluxation; Cervicothoracic region	M43.53		N	5
M43.54	Other recurrent vertebral subluxation; Thoracic region	M43.54		N	5
M43.55	Other recurrent vertebral subluxation; Thoracolumbar region	M43.55		N	5
M43.56	Other recurrent vertebral subluxation; Lumbar region	M43.56		N	5
M43.57	Other recurrent vertebral subluxation; Lumbosacral region	M43.57		N	5
M43.58	Other recurrent vertebral subluxation; Sacral and sacrococcygeal region	M43.58		N	5
M43.59	Other recurrent vertebral subluxation; Site unspecified	M43.59		N	5
M43.6	Torticollis	M43.6		N	4
M43.8	Other specified deforming dorsopathies	M43.8		N	4
M43.80	Other specified deforming dorsopathies; Multiple sites in spine	M43.80		N	5
M43.81	Other specified deforming dorsopathies; Occipito-atlanto-axial region	M43.81		N	5
M43.82	Other specified deforming dorsopathies; Cervical region	M43.82		N	5
M43.83	Other specified deforming dorsopathies; Cervicothoracic region	M43.83		N	5
M43.84	Other specified deforming dorsopathies; Thoracic region	M43.84		N	5
M43.85	Other specified deforming dorsopathies; Thoracolumbar region	M43.85		N	5
M43.86	Other specified deforming dorsopathies; Lumbar region	M43.86		N	5
M43.87	Other specified deforming dorsopathies; Lumbosacral region	M43.87		N	5
M43.88	Other specified deforming dorsopathies; Sacral and sacrococcygeal region	M43.88		N	5
M43.89	Other specified deforming dorsopathies; Site unspecified	M43.89		N	5
M43.9	Deforming dorsopathy, unspecified	M43.9		N	4
M43.90	Deforming dorsopathy, unspecified; Multiple sites in spine	M43.90		N	5
M43.91	Deforming dorsopathy, unspecified; Occipito-atlanto-axial region	M43.91		N	5
M43.92	Deforming dorsopathy, unspecified; Cervical region	M43.92		N	5
M43.93	Deforming dorsopathy, unspecified; Cervicothoracic region	M43.93		N	5
M43.94	Deforming dorsopathy, unspecified; Thoracic region	M43.94		N	5
M43.95	Deforming dorsopathy, unspecified; Thoracolumbar region	M43.95		N	5
M43.96	Deforming dorsopathy, unspecified; Lumbar region	M43.96		N	5
M43.97	Deforming dorsopathy, unspecified; Lumbosacral region	M43.97		N	5
M43.98	Deforming dorsopathy, unspecified; Sacral and sacrococcygeal region	M43.98		N	5
M43.99	Deforming dorsopathy, unspecified; Site unspecified	M43.99		N	5
M45.X	Ankylosing spondylitis	M45.X		N	3
M45.X0	Ankylosing spondylitis; Multiple sites in spine	M45.X0		N	5
M45.X1	Ankylosing spondylitis; Occipito-atlanto-axial region	M45.X1		N	5
M45.X2	Ankylosing spondylitis; Cervical region	M45.X2		N	5
M45.X3	Ankylosing spondylitis; Cervicothoracic region	M45.X3		N	5
M45.X4	Ankylosing spondylitis; Thoracic region	M45.X4		N	5
M45.X5	Ankylosing spondylitis; Thoracolumbar region	M45.X5		N	5
M45.X6	Ankylosing spondylitis; Lumbar region	M45.X6		N	5
M45.X7	Ankylosing spondylitis; Lumbosacral region	M45.X7		N	5
M45.X8	Ankylosing spondylitis; Sacral and sacrococcygeal region	M45.X8		N	5
M45.X9	Ankylosing spondylitis; Site unspecified	M45.X9		N	5
M46	Other inflammatory spondylopathies	M46		N	3
M46.0	Spinal enthesopathy	M46.0		N	4
M46.00	Spinal enthesopathy; Multiple sites in spine	M46.00		N	5
M46.01	Spinal enthesopathy; Occipito-atlanto-axial region	M46.01		N	5
M46.02	Spinal enthesopathy; Cervical region	M46.02		N	5
M46.03	Spinal enthesopathy; Cervicothoracic region	M46.03		N	5
M46.04	Spinal enthesopathy; Thoracic region	M46.04		N	5
M46.05	Spinal enthesopathy; Thoracolumbar region	M46.05		N	5
M46.06	Spinal enthesopathy; Lumbar region	M46.06		N	5
M46.07	Spinal enthesopathy; Lumbosacral region	M46.07		N	5
M46.08	Spinal enthesopathy; Sacral and sacrococcygeal region	M46.08		N	5
M46.09	Spinal enthesopathy; Site unspecified	M46.09		N	5
M46.1	Sacroiliitis, not elsewhere classified	M46.1		N	4
M46.2	Osteomyelitis of vertebra	M46.2		N	4
M46.20	Osteomyelitis of vertebra; Multiple sites in spine	M46.20		N	5
M46.21	Osteomyelitis of vertebra; Occipito-atlanto-axial region	M46.21		N	5
M46.22	Osteomyelitis of vertebra; Cervical region	M46.22		N	5
M46.23	Osteomyelitis of vertebra; Cervicothoracic region	M46.23		N	5
M46.24	Osteomyelitis of vertebra; Thoracic region	M46.24		N	5
M46.25	Osteomyelitis of vertebra; Thoracolumbar region	M46.25		N	5
M46.26	Osteomyelitis of vertebra; Lumbar region	M46.26		N	5
M46.27	Osteomyelitis of vertebra; Lumbosacral region	M46.27		N	5
M46.28	Osteomyelitis of vertebra; Sacral and sacrococcygeal region	M46.28		N	5
M46.29	Osteomyelitis of vertebra; Site unspecified	M46.29		N	5
M46.3	Infection of intervertebral disc (pyogenic)	M46.3		N	4
M46.30	Infection of intervertebral disc (pyogenic); Multiple sites in spine	M46.30		N	5
M46.31	Infection of intervertebral disc (pyogenic); Occipito-atlanto-axial region	M46.31		N	5
M46.32	Infection of intervertebral disc (pyogenic); Cervical region	M46.32		N	5
M46.33	Infection of intervertebral disc (pyogenic); Cervicothoracic region	M46.33		N	5
M46.34	Infection of intervertebral disc (pyogenic); Thoracic region	M46.34		N	5
M46.35	Infection of intervertebral disc (pyogenic); Thoracolumbar region	M46.35		N	5
M46.36	Infection of intervertebral disc (pyogenic); Lumbar region	M46.36		N	5
M46.37	Infection of intervertebral disc (pyogenic); Lumbosacral region	M46.37		N	5
M46.38	Infection of intervertebral disc (pyogenic); Sacral and sacrococcygeal region	M46.38		N	5
M46.39	Infection of intervertebral disc (pyogenic); Site unspecified	M46.39		N	5
M46.4	Discitis, unspecified	M46.4		N	4
M46.40	Discitis, unspecified; Multiple sites in spine	M46.40		N	5
M46.41	Discitis, unspecified; Occipito-atlanto-axial region	M46.41		N	5
M46.42	Discitis, unspecified; Cervical region	M46.42		N	5
M46.43	Discitis, unspecified; Cervicothoracic region	M46.43		N	5
M46.44	Discitis, unspecified; Thoracic region	M46.44		N	5
M46.45	Discitis, unspecified; Thoracolumbar region	M46.45		N	5
M46.46	Discitis, unspecified; Lumbar region	M46.46		N	5
M46.47	Discitis, unspecified; Lumbosacral region	M46.47		N	5
M46.48	Discitis, unspecified; Sacral and sacrococcygeal region	M46.48		N	5
M46.49	Discitis, unspecified; Site unspecified	M46.49		N	5
M46.5	Other infective spondylopathies	M46.5		N	4
M46.50	Other infective spondylopathies; Multiple sites in spine	M46.50		N	5
M46.51	Other infective spondylopathies; Occipito-atlanto-axial region	M46.51		N	5
M46.52	Other infective spondylopathies; Cervical region	M46.52		N	5
M46.53	Other infective spondylopathies; Cervicothoracic region	M46.53		N	5
M46.54	Other infective spondylopathies; Thoracic region	M46.54		N	5
M46.55	Other infective spondylopathies; Thoracolumbar region	M46.55		N	5
M46.56	Other infective spondylopathies; Lumbar region	M46.56		N	5
M46.57	Other infective spondylopathies; Lumbosacral region	M46.57		N	5
M46.58	Other infective spondylopathies; Sacral and sacrococcygeal region	M46.58		N	5
M46.59	Other infective spondylopathies; Site unspecified	M46.59		N	5
M46.8	Other specified inflammatory spondylopathies	M46.8		N	4
M46.80	Other specified inflammatory spondylopathies; Multiple sites in spine	M46.80		N	5
M46.81	Other specified inflammatory spondylopathies; Occipito-atlanto-axial region	M46.81		N	5
M46.82	Other specified inflammatory spondylopathies; Cervical region	M46.82		N	5
M46.83	Other specified inflammatory spondylopathies; Cervicothoracic region	M46.83		N	5
M46.84	Other specified inflammatory spondylopathies; Thoracic region	M46.84		N	5
M46.85	Other specified inflammatory spondylopathies; Thoracolumbar region	M46.85		N	5
M46.86	Other specified inflammatory spondylopathies; Lumbar region	M46.86		N	5
M46.87	Other specified inflammatory spondylopathies; Lumbosacral region	M46.87		N	5
M46.88	Other specified inflammatory spondylopathies; Sacral and sacrococcygeal region	M46.88		N	5
M46.89	Other specified inflammatory spondylopathies; Site unspecified	M46.89		N	5
M46.9	Inflammatory spondylopathy, unspecified	M46.9		N	4
M46.90	Inflammatory spondylopathy, unspecified; Multiple sites in spine	M46.90		N	5
M46.91	Inflammatory spondylopathy, unspecified; Occipito-atlanto-axial region	M46.91		N	5
M46.92	Inflammatory spondylopathy, unspecified; Cervical region	M46.92		N	5
M46.93	Inflammatory spondylopathy, unspecified; Cervicothoracic region	M46.93		N	5
M46.94	Inflammatory spondylopathy, unspecified; Thoracic region	M46.94		N	5
M46.95	Inflammatory spondylopathy, unspecified; Thoracolumbar region	M46.95		N	5
M46.96	Inflammatory spondylopathy, unspecified; Lumbar region	M46.96		N	5
M46.97	Inflammatory spondylopathy, unspecified; Lumbosacral region	M46.97		N	5
M46.98	Inflammatory spondylopathy, unspecified; Sacral and sacrococcygeal region	M46.98		N	5
M46.99	Inflammatory spondylopathy, unspecified; Site unspecified	M46.99		N	5
M47	Spondylosis	M47		N	3
M47.0D	Anterior spinal and vertebral artery compression syndromes	M47.0D	Associated asterisk code G99.2	N	4
M47.00D	Anterior spinal and vertebral artery compression syndromes; Multiple sites in spine	M47.00D		N	5
M47.01D	Anterior spinal and vertebral artery compression syndromes; Occipito-atlanto-axial region	M47.01D		N	5
M47.02D	Anterior spinal and vertebral artery compression syndromes; Cervical region	M47.02D		N	5
M47.03D	Anterior spinal and vertebral artery compression syndromes; Cervicothoracic region	M47.03D		N	5
M47.04D	Anterior spinal and vertebral artery compression syndromes; Thoracic region	M47.04D		N	5
M47.05D	Anterior spinal and vertebral artery compression syndromes; Thoracolumbar region	M47.05D		N	5
M47.06D	Anterior spinal and vertebral artery compression syndromes; Lumbar region	M47.06D		N	5
M47.07D	Anterior spinal and vertebral artery compression syndromes; Lumbosacral region	M47.07D		N	5
M47.08D	Anterior spinal and vertebral artery compression syndromes; Sacral and sacrococcygeal region	M47.08D		N	5
M47.09D	Anterior spinal and vertebral artery compression syndromes; Site unspecified	M47.09D		N	5
M47.1	Other spondylosis with myelopathy	M47.1		N	4
M47.10	Other spondylosis with myelopathy; Multiple sites in spine	M47.10		N	5
M47.11	Other spondylosis with myelopathy; Occipito-atlanto-axial region	M47.11		N	5
M47.12	Other spondylosis with myelopathy; Cervical region	M47.12		N	5
M47.13	Other spondylosis with myelopathy; Cervicothoracic region	M47.13		N	5
M47.14	Other spondylosis with myelopathy; Thoracic region	M47.14		N	5
M47.15	Other spondylosis with myelopathy; Thoracolumbar region	M47.15		N	5
M47.16	Other spondylosis with myelopathy; Lumbar region	M47.16		N	5
M47.17	Other spondylosis with myelopathy; Lumbosacral region	M47.17		N	5
M47.18	Other spondylosis with myelopathy; Sacral and sacrococcygeal region	M47.18		N	5
M47.19	Other spondylosis with myelopathy; Site unspecified	M47.19		N	5
M47.2	Other spondylosis with radiculopathy	M47.2		N	4
M47.20	Other spondylosis with radiculopathy; Multiple sites in spine	M47.20		N	5
M47.21	Other spondylosis with radiculopathy; Occipito-atlanto-axial region	M47.21		N	5
M47.22	Other spondylosis with radiculopathy; Cervical region	M47.22		N	5
M47.23	Other spondylosis with radiculopathy; Cervicothoracic region	M47.23		N	5
M47.24	Other spondylosis with radiculopathy; Thoracic region	M47.24		N	5
M47.25	Other spondylosis with radiculopathy; Thoracolumbar region	M47.25		N	5
M47.26	Other spondylosis with radiculopathy; Lumbar region	M47.26		N	5
M47.27	Other spondylosis with radiculopathy; Lumbosacral region	M47.27		N	5
M47.28	Other spondylosis with radiculopathy; Sacral and sacrococcygeal region	M47.28		N	5
M47.29	Other spondylosis with radiculopathy; Site unspecified	M47.29		N	5
M47.8	Other spondylosis	M47.8		N	4
M47.80	Other spondylosis; Multiple sites in spine	M47.80		N	5
M47.81	Other spondylosis; Occipito-atlanto-axial region	M47.81		N	5
M47.82	Other spondylosis; Cervical region	M47.82		N	5
M47.83	Other spondylosis; Cervicothoracic region	M47.83		N	5
M47.84	Other spondylosis; Thoracic region	M47.84		N	5
M47.85	Other spondylosis; Thoracolumbar region	M47.85		N	5
M47.86	Other spondylosis; Lumbar region	M47.86		N	5
M47.87	Other spondylosis; Lumbosacral region	M47.87		N	5
M47.88	Other spondylosis; Sacral and sacrococcygeal region	M47.88		N	5
M47.89	Other spondylosis; Site unspecified	M47.89		N	5
M47.9	Spondylosis, unspecified	M47.9		N	4
M47.90	Spondylosis, unspecified; Multiple sites in spine	M47.90		N	5
M47.91	Spondylosis, unspecified; Occipito-atlanto-axial region	M47.91		N	5
M47.92	Spondylosis, unspecified; Cervical region	M47.92		N	5
M47.93	Spondylosis, unspecified; Cervicothoracic region	M47.93		N	5
M47.94	Spondylosis, unspecified; Thoracic region	M47.94		N	5
M47.95	Spondylosis, unspecified; Thoracolumbar region	M47.95		N	5
M47.96	Spondylosis, unspecified; Lumbar region	M47.96		N	5
M47.97	Spondylosis, unspecified; Lumbosacral region	M47.97		N	5
M47.98	Spondylosis, unspecified; Sacral and sacrococcygeal region	M47.98		N	5
M47.99	Spondylosis, unspecified; Site unspecified	M47.99		N	5
M48	Other spondylopathies	M48		N	3
M48.0	Spinal stenosis	M48.0		N	4
M48.00	Spinal stenosis; Multiple sites in spine	M48.00		N	5
M48.01	Spinal stenosis; Occipito-atlanto-axial region	M48.01		N	5
M48.02	Spinal stenosis; Cervical region	M48.02		N	5
M48.03	Spinal stenosis; Cervicothoracic region	M48.03		N	5
M48.04	Spinal stenosis; Thoracic region	M48.04		N	5
M48.05	Spinal stenosis; Thoracolumbar region	M48.05		N	5
M48.06	Spinal stenosis; Lumbar region	M48.06		N	5
M48.07	Spinal stenosis; Lumbosacral region	M48.07		N	5
M48.08	Spinal stenosis; Sacral and sacrococcygeal region	M48.08		N	5
M48.09	Spinal stenosis; Site unspecified	M48.09		N	5
M48.1	Ankylosing hyperostosis [Forestier]	M48.1		N	4
M48.10	Ankylosing hyperostosis [Forestier]; Multiple sites in spine	M48.10		N	5
M48.11	Ankylosing hyperostosis [Forestier]; Occipito-atlanto-axial region	M48.11		N	5
M48.12	Ankylosing hyperostosis [Forestier]; Cervical region	M48.12		N	5
M48.13	Ankylosing hyperostosis [Forestier]; Cervicothoracic region	M48.13		N	5
M48.14	Ankylosing hyperostosis [Forestier]; Thoracic region	M48.14		N	5
M48.15	Ankylosing hyperostosis [Forestier]; Thoracolumbar region	M48.15		N	5
M48.16	Ankylosing hyperostosis [Forestier]; Lumbar region	M48.16		N	5
M48.17	Ankylosing hyperostosis [Forestier]; Lumbosacral region	M48.17		N	5
M48.18	Ankylosing hyperostosis [Forestier]; Sacral and sacrococcygeal region	M48.18		N	5
M48.19	Ankylosing hyperostosis [Forestier]; Site unspecified	M48.19		N	5
M48.2	Kissing spine	M48.2		N	4
M48.20	Kissing spine; Multiple sites in spine	M48.20		N	5
M48.21	Kissing spine; Occipito-atlanto-axial region	M48.21		N	5
M48.22	Kissing spine; Cervical region	M48.22		N	5
M48.23	Kissing spine; Cervicothoracic region	M48.23		N	5
M48.24	Kissing spine; Thoracic region	M48.24		N	5
M48.25	Kissing spine; Thoracolumbar region	M48.25		N	5
M48.26	Kissing spine; Lumbar region	M48.26		N	5
M48.27	Kissing spine; Lumbosacral region	M48.27		N	5
M48.28	Kissing spine; Sacral and sacrococcygeal region	M48.28		N	5
M48.29	Kissing spine; Site unspecified	M48.29		N	5
M48.3	Traumatic spondylopathy	M48.3		N	4
M48.30	Traumatic spondylopathy; Multiple sites in spine	M48.30		N	5
M48.31	Traumatic spondylopathy; Occipito-atlanto-axial region	M48.31		N	5
M48.32	Traumatic spondylopathy; Cervical region	M48.32		N	5
M48.33	Traumatic spondylopathy; Cervicothoracic region	M48.33		N	5
M48.34	Traumatic spondylopathy; Thoracic region	M48.34		N	5
M48.35	Traumatic spondylopathy; Thoracolumbar region	M48.35		N	5
M48.36	Traumatic spondylopathy; Lumbar region	M48.36		N	5
M48.37	Traumatic spondylopathy; Lumbosacral region	M48.37		N	5
M48.38	Traumatic spondylopathy; Sacral and sacrococcygeal region	M48.38		N	5
M48.39	Traumatic spondylopathy; Site unspecified	M48.39		N	5
M48.4	Fatigue fracture of vertebra	M48.4		N	4
M48.40	Fatigue fracture of vertebra; Multiple sites in spine	M48.40		N	5
M48.41	Fatigue fracture of vertebra; Occipito-atlanto-axial region	M48.41		N	5
M48.42	Fatigue fracture of vertebra; Cervical region	M48.42		N	5
M48.43	Fatigue fracture of vertebra; Cervicothoracic region	M48.43		N	5
M48.44	Fatigue fracture of vertebra; Thoracic region	M48.44		N	5
M48.45	Fatigue fracture of vertebra; Thoracolumbar region	M48.45		N	5
M48.46	Fatigue fracture of vertebra; Lumbar region	M48.46		N	5
M48.47	Fatigue fracture of vertebra; Lumbosacral region	M48.47		N	5
M48.48	Fatigue fracture of vertebra; Sacral and sacrococcygeal region	M48.48		N	5
M48.49	Fatigue fracture of vertebra; Site unspecified	M48.49		N	5
M48.5	Collapsed vertebra, not elsewhere classified	M48.5		N	4
M48.50	Collapsed vertebra, not elsewhere classified; Multiple sites in spine	M48.50		N	5
M48.51	Collapsed vertebra, not elsewhere classified; Occipito-atlanto-axial region	M48.51		N	5
